WhiskerAmount,SpawnAreaSizeX (mm),SpawnAreaSizeY (mm),SpawnAreaSizeZ (mm),SpawnPositionX (mm),SpawnPositionY (mm),SpawnPositionZ (mm),LengthMu,LengthSigma,WidthMu,WidthSigma,SimNumber,SimDuration (sec)
250,10,1,10,25,5,10,5,1.15,1.1685,0.345,29,20

Component,Bridge count
CO130,23
CO129,21
CO1285,18
CO1284,18
CO1719,15
CO1687,14
CO1281,13
CO803,13
CO1280,12
CO442,12
CO185,12
CO128,12
CO1753,11
CO1509,10
CO1677,10
CO608,10
CO1717,10
CO657,9
CO827,9
CO824,9
CO909,8
CO910,8
CO823,8
CO1811,8
CO1751,7
CO826,7
CO1507,7
CO1725,7
CO881,7
CO1723,6
CO1282,6
CO1667,6
CO585,6
CO1814,6
CO1729,6
CO829,6
CO1815,6
CO1743,6
CO573,6
CO575,5
CO578,5
CO576,5
CO1283,4
CO554,4
CO1816,4
CO1508,4
CO1720,4
CO1810,4
CO1718,4
CO1665,3
CO1812,3
CO1298,2
CO385,2
CO1668,2
CO1510,2
CO1678,2
CO1754,2
CO443,2
CO1688,2
CO1752,1
CO1726,1
CO1666,1
CO507,1
CO1290,1
CO658,1
CO1730,1
CO584,1
CO582,1
CO574,1
CO1724,1
CO577,1
CO392,1

Percentage of simulations with bridged components: 100.00%
Sim number,Number of bridges
0,9
1,7
2,7
3,6
4,9
5,5
6,8
7,6
8,5
9,6
10,8
11,5
12,8
13,11
14,7
15,13
16,8
17,9
18,10
19,7
20,11
21,14
22,6
23,8
24,4
25,8
26,7
27,4
28,9
29,8
